"id","nombre","descripcion","tipo_capa","fecha_registro","id_categoria","id_institucion","usuario_registro","fecha_registro-2"
1,"Actividades culturales",NULL,1,NULL,5,2151,1,"2026-02-18 10:17:21.177581-05"
2,"Actividades deportivas",NULL,1,NULL,5,2151,1,"2026-02-18 10:17:21.177581-05"
3,"Alertas de incendio forestal",NULL,1,NULL,5,173,1,"2026-02-18 10:17:21.177581-05"
4,"Anomalía de Precipitación 01 Década del mes.",NULL,1,NULL,5,75,1,"2026-02-18 10:17:21.177581-05"
5,"Anomalía de Precipitación 02 Década del mes.",NULL,1,NULL,5,75,1,"2026-02-18 10:17:21.177581-05"
6,"Anomalía de Precipitación 03 Década del mes.",NULL,1,NULL,5,75,1,"2026-02-18 10:17:21.177581-05"
7,"Anomalía de Precipitación Mensual",NULL,1,NULL,5,75,1,"2026-02-18 10:17:21.177581-05"
8,"Anomalía de Temperatura Máxima 01 Década del mes.",NULL,1,NULL,5,75,1,"2026-02-18 10:17:21.177581-05"
9,"Proyectos de Inversión - ANIN",NULL,1,NULL,17,57,1,"2026-02-18 10:17:21.177581-05"
10,"Infraestructuras habilitadas por SANIPES",NULL,1,NULL,6,227,1,"2026-02-18 10:17:21.177581-05"
11,"Oficinas Desconcentradas de SANIPES",NULL,1,NULL,6,227,1,"2026-02-18 10:17:21.177581-05"
12,"Aprobados",NULL,1,NULL,2,172,1,"2026-02-18 10:17:21.177581-05"
13,"Propuesta","",1,NULL,2,172,1,"2026-02-18 10:17:21.177581-05"
14,"Sector Mayor","",1,NULL,2,172,1,"2026-02-18 10:17:21.177581-05"
15,"Sector Menor Clase A","",1,NULL,2,172,1,"2026-02-18 10:17:21.177581-05"
16,"Sector Menor Clase B","",1,NULL,2,172,1,"2026-02-18 10:17:21.177581-05"
17,"Sector Menor Clase C","",1,NULL,2,172,1,"2026-02-18 10:17:21.177581-05"
18,"Unidades Hidrográficas",NULL,1,NULL,2,172,1,"2026-02-18 10:17:21.177581-05"
19,"AAA",NULL,1,NULL,2,172,1,"2026-02-18 10:17:21.177581-05"
20,"ALA",NULL,1,NULL,2,172,1,"2026-02-18 10:17:21.177581-05"
21,"Principales Presas",NULL,1,NULL,2,172,1,"2026-02-18 10:17:21.177581-05"
22,"Puntos de Muestreo",NULL,1,NULL,2,172,1,"2026-02-18 10:17:21.177581-05"
23,"Fuentes Contaminantes",NULL,1,NULL,2,172,1,"2026-02-18 10:17:21.177581-05"
24,"Vertimientos",NULL,1,NULL,2,172,1,"2026-02-18 10:17:21.177581-05"
25,"Acuícola",NULL,1,NULL,2,172,1,"2026-02-18 10:17:21.177581-05"
26,"Agrarios",NULL,1,NULL,2,172,1,"2026-02-18 10:17:21.177581-05"
27,"De Transporte",NULL,1,NULL,2,172,1,"2026-02-18 10:17:21.177581-05"
28,"Energético",NULL,1,NULL,2,172,1,"2026-02-18 10:17:21.177581-05"
29,"Industrial",NULL,1,NULL,2,172,1,"2026-02-18 10:17:21.177581-05"
30,"Minero",NULL,1,NULL,2,172,1,"2026-02-18 10:17:21.177581-05"
31,"Otros Usos",NULL,1,NULL,2,172,1,"2026-02-18 10:17:21.177581-05"
32,"Pecuario",NULL,1,NULL,2,172,1,"2026-02-18 10:17:21.177581-05"
33,"Pesquero",NULL,1,NULL,2,172,1,"2026-02-18 10:17:21.177581-05"
34,"Poblacional",NULL,1,NULL,2,172,1,"2026-02-18 10:17:21.177581-05"
35,"Recreativo",NULL,1,NULL,2,172,1,"2026-02-18 10:17:21.177581-05"
36,"Turístico",NULL,1,NULL,2,172,1,"2026-02-18 10:17:21.177581-05"
37,"Volúmenes Utilizados",NULL,1,NULL,2,172,1,"2026-02-18 10:17:21.177581-05"
38,"Acred. Disp. Hídrica",NULL,1,NULL,2,172,1,"2026-02-18 10:17:21.177581-05"
39,"Aut. Ejec. Obras",NULL,1,NULL,2,172,1,"2026-02-18 10:17:21.177581-05"
40,"Formalización",NULL,1,NULL,2,172,1,"2026-02-18 10:17:21.177581-05"
41,"Ríos",NULL,1,NULL,2,172,1,"2026-02-18 10:17:21.177581-05"
42,"Lagunas",NULL,1,NULL,2,172,1,"2026-02-18 10:17:21.177581-05"
43,"Acuíferos en veda",NULL,1,NULL,2,172,1,"2026-02-18 10:17:21.177581-05"
44,"Acuíferos",NULL,1,NULL,2,172,1,"2026-02-18 10:17:21.177581-05"
45,"Glaciares",NULL,1,NULL,2,172,1,"2026-02-18 10:17:21.177581-05"
46,"Presas",NULL,1,NULL,2,172,1,"2026-02-18 10:17:21.177581-05"
47,"Reservorios",NULL,1,NULL,2,172,1,"2026-02-18 10:17:21.177581-05"
48,"Túneles",NULL,1,NULL,2,172,1,"2026-02-18 10:17:21.177581-05"
49,"Acueductos",NULL,1,NULL,2,172,1,"2026-02-18 10:17:21.177581-05"
50,"Obras de Arte",NULL,1,NULL,2,172,1,"2026-02-18 10:17:21.177581-05"
51,"Pozos",NULL,1,NULL,2,172,1,"2026-02-18 10:17:21.177581-05"
