id_layer;idtematica;idsubtematico;ide;geo;capa;entidad;frec_act;fecha_reg;fecha_prox;wms;wfs;arcgis;wmts;responsable_geo;estado_proc;fecha_proc;responsable_pub;estado_pub_geo;fecha_pub_geo;estado_ide_proc;fecha_proc_ide;estado_pub_ide;fecha_pub_ide;descripcion;observacion;estado_actu;id_institucion;id_categoria
41966;54;2562;NO;SI;Actividades culturales;Servicio de Parques de Lima (SERPAR);90;31/10/2025;29/01/2026;https://espacialg.geoperu.gob.pe/geoserver/subsistemas/20251124104234___Actividades_Cul_Oct2025/wms?service=WMS&request=GetCapabilities;;;;Connie Castro;Incorporación;19/11/2025;Connie Castro;Publicado;21/11/2025;NULL;NULL;NULL;NULL;Sin descripción;Sin observación;ACTUALIZADO;2151;5
41967;54;2562;NO;SI;Actividades deportivas;Servicio de Parques de Lima (SERPAR);90;31/10/2025;29/01/2026;https://espacialg.geoperu.gob.pe/geoserver/subsistemas/20251124104300___Actividades_Dep_Oct2025/wms?service=WMS&request=GetCapabilities;;;;Connie Castro;Incorporación;19/11/2025;Connie Castro;Publicado;21/11/2025;NULL;NULL;NULL;NULL;Sin descripción;Sin observación;ACTUALIZADO;2151;5
19472;54;1993;SI;SI;Alertas de incendio forestal;Servicio Nacional Forestal y de Fauna Silvestre (SERFOR);Servicios;01/01/2021;06/01/2026;https://geo.serfor.gob.pe/geoservicios/services/Servicios_OGC/Unidad_Monitoreo_Satelital/MapServer/WMSServer?request=GetCapabilities&service=WMS;;;;José Herrera;Actualización;13/02/2024;José Herrera;Publicado;30/12/2023;NULL;NULL;NULL;NULL;Sin descripción;La Operatividad es parcial, de las dos capas que contiene el servicio solo funciona una de ellas. La capa Incendio Forestal no está cargando.;ACTUALIZADO;173;5
41573;54;2550;SI;SI;Anomalía de Precipitación 01 Década del mes.;Servicio Nacional de Meteorología e Hidrología del Perú (SENAMHI);Servicios;16/01/2026;06/01/2026;https://idesep.senamhi.gob.pe:443/geoserver/g_04_02/04_02_005_03_002_512_0000_00_00/ows?service=WMS&request=GetCapabilities;;;;Mario Flores;Incorporación;20/10/2025;Mario Flores;Publicado;20/10/2025;Incorporación;30/10/2025;Publicado;20/11/2025;Mapa que provee información de las condiciones actuales de las Anomalías de Precipitación de la primera década del mes actual.;Sin observación;ACTUALIZADO;75;5
41814;54;2550;SI;SI;Anomalía de Precipitación 02 Década del mes.;Servicio Nacional de Meteorología e Hidrología del Perú (SENAMHI);Servicios;16/01/2026;06/01/2026;https://idesep.senamhi.gob.pe:443/geoserver/g_04_02/04_02_006_03_002_512_0000_00_00/ows?service=WMS&request=GetCapabilities;;;;Mario Flores;Incorporación;20/10/2025;Mario Flores;Publicado;20/10/2025;Incorporación;30/10/2025;Publicado;20/11/2025;Mapa que provee información de las condiciones actuales de las Anomalías de Precipitación de la segunda década del mes actual.;Sin observación;ACTUALIZADO;75;5
42308;54;2550;SI;SI;Anomalía de Precipitación 03 Década del mes.;Servicio Nacional de Meteorología e Hidrología del Perú (SENAMHI);Servicios;31/12/2019;06/01/2026;https://idesep.senamhi.gob.pe:443/geoserver/g_04_02/04_02_007_03_002_512_0000_00_00/ows?service=WMS&request=GetCapabilities;;;;Luis Rodriguez;Incorporación;12/02/2026;Luis Rodriguez;Publicado;12/02/2026;Incorporación;30/10/2025;Publicado;20/11/2025;Mapa que provee información de las condiciones actuales de las Anomalías de Precipitación de la tercera década del mes actual.;Sin observación;ACTUALIZADO;75;5
42309;54;2550;SI;SI;Anomalía de Precipitación Mensual;Servicio Nacional de Meteorología e Hidrología del Perú (SENAMHI);Servicios;31/12/2019;06/01/2026;https://idesep.senamhi.gob.pe:443/geoserver/g_04_02/04_02_008_03_002_512_0000_00_00/ows?service=WMS&request=GetCapabilities;;;;Luis Rodriguez;Incorporación;12/02/2026;Luis Rodriguez;Publicado;12/02/2026;Incorporación;30/10/2025;Publicado;20/11/2025;Mapa que provee información de las condiciones actuales de las Anomalías de Precipitación del mes actual.;Sin observación;ACTUALIZADO;75;5
41575;54;2550;SI;SI;Anomalía de Temperatura Máxima 01 Década del mes.;Servicio Nacional de Meteorología e Hidrología del Perú (SENAMHI);Servicios;16/01/2026;06/01/2026;https://idesep.senamhi.gob.pe:443/geoserver/g_04_05/04_05_005_03_002_512_0000_00_00/ows?service=WMS&request=GetCapabilities;;;;Mario Flores;Incorporación;20/10/2025;Mario Flores;Publicado;20/10/2025;Incorporación;30/10/2025;Publicado;20/11/2025;Mapa que provee información de las condiciones actuales de las Anomalías de Temperatura Máxima de la primera década del mes actual.;Sin observación;ACTUALIZADO;75;5
41261;42;2264;NO;SI;Proyectos de Inversión - ANIN;Autoridad Nacional de Infraestructura (ANIN);30;01/07/2025;31/07/2025;https://espacialg.geoperu.gob.pe/geoserver/subsistemas/20250730150624___Proyectos_anin_jul25/wms?service=WMS&request=GetCapabilities;;;;Mario Flores;Actualización;30/07/2025;Mario Flores;Publicado;30/07/2025;NULL;NULL;NULL;NULL;NULL;Sin observación;DESACTUALIZADO;57;17
40817;49;2378;SI;SI;Infraestructuras habilitadas por SANIPES;Autoridad Nacional de Sanidad e Inocuidad en Pesca y Acuicultura (SANIPES);Servicios;28/04/2025;06/01/2026;https://geoserver.sanipes.gob.pe/geoserver/general/peru_sanipes_017_infraestructura/wms?service=WMS&request=GetCapabilities;;;;Luis Rodriguez;Incorporación;28/04/2025;Luis Rodriguez;Publicado;13/05/2025;Incorporación;28/04/2025;Publicado;28/04/2025;Este servicio proporciona una visualización de la ubicación de las infraestructuras habilitadas por SANIPES en todo el país.;Sin observación;ACTUALIZADO;227;6
40818;49;2378;SI;SI;Oficinas Desconcentradas de SANIPES;Autoridad Nacional de Sanidad e Inocuidad en Pesca y Acuicultura (SANIPES);Servicios;28/04/2025;06/01/2026;https://geoserver.sanipes.gob.pe/geoserver/general/peru_sanipes_013_ode/wms?service=WMS&request=GetCapabilities;;;;Luis Rodriguez;Incorporación;28/04/2025;Luis Rodriguez;Publicado;13/05/2025;Incorporación;28/04/2025;Publicado;28/04/2025;Este servicio permite visualizar la ubicación de las Oficinas Desconcentradas de SANIPES a lo largo del territorio nacional.;Sin observación;ACTUALIZADO;227;6
