"id","nombre","descripcion","tipo_capa","publicar_geoperu","fecha_registro","id_categoria","id_institucion","usuario_crea","fecha_crea","usuario_modifica","fecha_modifica"
1,"Actividades culturales",NULL,1,True,NULL,5,2151,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
2,"Actividades deportivas",NULL,1,True,NULL,5,2151,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
3,"Alertas de incendio forestal",NULL,1,True,NULL,5,173,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
4,"Anomalía de Precipitación 01 Década del mes.",NULL,1,True,NULL,5,75,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
5,"Anomalía de Precipitación 02 Década del mes.",NULL,1,True,NULL,5,75,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
6,"Anomalía de Precipitación 03 Década del mes.",NULL,1,True,NULL,5,75,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
7,"Anomalía de Precipitación Mensual",NULL,1,True,NULL,5,75,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
8,"Anomalía de Temperatura Máxima 01 Década del mes.",NULL,1,True,NULL,5,75,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
9,"Proyectos de Inversión - ANIN",NULL,1,True,NULL,17,57,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
10,"Infraestructuras habilitadas por SANIPES",NULL,1,True,NULL,6,227,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
11,"Oficinas Desconcentradas de SANIPES",NULL,1,True,NULL,6,227,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
12,"Aprobados",NULL,1,True,NULL,2,172,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
13,"Propuesta",NULL,1,True,NULL,2,172,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
14,"Sector Mayor",NULL,1,True,NULL,2,172,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
15,"Sector Menor Clase A",NULL,1,True,NULL,2,172,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
16,"Sector Menor Clase B",NULL,1,True,NULL,2,172,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
17,"Sector Menor Clase C",NULL,1,True,NULL,2,172,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
18,"Unidades Hidrográficas",NULL,1,True,NULL,2,172,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
19,"AAA",NULL,1,True,NULL,2,172,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
20,"ALA",NULL,1,True,NULL,2,172,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
21,"Principales Presas",NULL,1,True,NULL,2,172,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
22,"Puntos de Muestreo",NULL,1,True,NULL,2,172,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
23,"Fuentes Contaminantes",NULL,1,True,NULL,2,172,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
24,"Vertimientos",NULL,1,True,NULL,2,172,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
25,"Acuícola",NULL,1,True,NULL,2,172,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
26,"Agrarios",NULL,1,True,NULL,2,172,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
27,"De Transporte",NULL,1,True,NULL,2,172,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
28,"Energético",NULL,1,True,NULL,2,172,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
29,"Industrial",NULL,1,True,NULL,2,172,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
30,"Minero",NULL,1,True,NULL,2,172,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
31,"Otros Usos",NULL,1,True,NULL,2,172,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
32,"Pecuario",NULL,1,True,NULL,2,172,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
33,"Pesquero",NULL,1,True,NULL,2,172,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
34,"Poblacional",NULL,1,True,NULL,2,172,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
35,"Recreativo",NULL,1,True,NULL,2,172,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
36,"Turístico",NULL,1,True,NULL,2,172,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
37,"Volúmenes Utilizados",NULL,1,True,NULL,2,172,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
38,"Acred. Disp. Hídrica",NULL,1,True,NULL,2,172,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
39,"Aut. Ejec. Obras",NULL,1,True,NULL,2,172,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
40,"Formalización",NULL,1,True,NULL,2,172,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
41,"Ríos",NULL,1,True,NULL,2,172,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
42,"Lagunas",NULL,1,True,NULL,2,172,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
43,"Acuíferos en veda",NULL,1,True,NULL,2,172,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
44,"Acuíferos",NULL,1,True,NULL,2,172,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
45,"Glaciares",NULL,1,True,NULL,2,172,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
46,"Presas",NULL,1,True,NULL,2,172,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
