n_documento,f_documento,f_recepcion,url_documento,usuario_registro,fecha_registro
RESOLUCIÓN JEFATURAL N° 030-2021-ACFFAA,2021-05-28,2021-05-28,https://repositorio.pngd.gob.pe/share/proxy/alfresco/slingshot/node/content/workspace/SpacesStore/cc9717e6-959c-4854-94d3-bc4931c01f45/RESOLUCI%c3%93N%20JEFATURAL%20N%c2%b0%20030-2021-ACFFAA.pdf,1,2026-03-27
RESOLUCIÓN DIRECTORAL EJECUTIVA N° 035-2017-APCI-DE,2017-03-15,2017-03-15,https://repositorio.pngd.gob.pe/share/proxy/alfresco/slingshot/node/content/workspace/SpacesStore/69cf27d1-d664-453e-8047-f69a19d34543/RESOLUCI%c3%93N%20DIRECTORAL%20EJECUTIVA%20N%c2%b0%20035-2017-APCI-DE.pdf,1,2026-03-27
Sin documento,2025-09-10,2024-04-05,https://repositorio.pngd.gob.pe/share/proxy/alfresco/slingshot/node/content/workspace/SpacesStore/62f90218-9e4d-429d-ac0c-35fe64deb9c9/SAN%20GABAN.pdf,1,2026-03-27
RESOLUCIÓN DE GERENCIA GENERAL N° 043-2025-AM-GG,2025-05-05,2025-08-14,https://repositorio.pngd.gob.pe/share/proxy/alfresco/slingshot/node/content/workspace/SpacesStore/8134d76e-7f73-4c8e-a19d-724c2ec12d8c/RESOLUCI%c3%93N%20DE%20GERENCIA%20GENERAL%20N%c2%b0%20043-2025-AM-GG.pdf,1,2026-03-27
OFICIO N° 0031-2026-MIDAGRI-AGROMERCADO-GG,2026-02-02,2026-02-09,https://repositorio.pngd.gob.pe/share/proxy/alfresco/slingshot/node/content/workspace/SpacesStore/abf42074-362f-4426-b152-80d8cfce006b/OFICIO%20N%c2%b0%200031-2026-MIDAGRI-AGROMERCADO-GG.pdf,1,2026-03-27
RESOLUCIÓN JEFATURAL N° 000007-2024-AGN-JEF,2024-01-08,2024-12-26,https://repositorio.pngd.gob.pe/share/proxy/alfresco/slingshot/node/content/workspace/SpacesStore/c8ee3659-9dda-423d-ba15-8521647128d1/RESOLUCI%c3%93N%20JEFATURAL%20N%c2%b0%20000007-2024-AGN-JEF.pdf,1,2026-03-27
OFICIO N° 001-2025-OGD,2025-09-09,2025-09-11,https://repositorio.pngd.gob.pe/share/proxy/alfresco/slingshot/node/content/workspace/SpacesStore/79ce39e8-013e-455f-8ce9-bde646d27ee9/OFICIO%20N%c2%b0%20001-2025-OGD.pdf,1,2026-03-27
OFICIO N° 000232-2025-AGN-SG,2025-08-28,2025-09-12,https://repositorio.pngd.gob.pe/share/proxy/alfresco/slingshot/node/content/workspace/SpacesStore/7b6aa413-4619-4102-9901-1b0e2fffe9bf/OFICIO%20N%c2%b0%20000232-2025-AGN-SG.pdf,1,2026-03-27
RESOLUCIÓN DE LA DIRECCIÓN EJECUTIVA N° 082-2021,2021-12-29,2025-05-23,https://repositorio.pngd.gob.pe/share/proxy/alfresco/slingshot/node/content/workspace/SpacesStore/046d1852-7c86-4e8f-a831-6426e1c1af96/RESOLUCI%c3%93N%20DE%20LA%20DIRECCI%c3%93N%20EJECUTIVA%20N%c2%b0%20082-2021.pdf,1,2026-03-27
OFICIO N° 000493-2024-SANIPES-GG,2024-11-28,2024-12-10,https://repositorio.pngd.gob.pe/share/proxy/alfresco/slingshot/node/content/workspace/SpacesStore/668bd6aa-c5f4-446b-991b-e598f9454090/OFICIO%20N%c2%b0%20000493-2024-SANIPES-GG.pdf,1,2026-03-27
RESOLUCIÓN JEFATURAL N° 009-2026-MIDAGRI-AGROMERCADO,2026-01-22,2026-02-03,https://repositorio.pngd.gob.pe/share/proxy/alfresco/slingshot/node/content/workspace/SpacesStore/0e8c7d5b-c08d-4da6-9bac-a82cbd883ded/RESOLUCI%c3%93N%20JEFATURAL%20N%c2%b0%20009-2026-MIDAGRI-AGROMERCADO.pdf,1,2026-03-27
OFICIO N° 0003-2024-CGTD,2024-06-27,2025-03-20,https://repositorio.pngd.gob.pe/share/proxy/alfresco/slingshot/node/content/workspace/SpacesStore/7361bb70-3228-4aff-950d-56b19a1637f0/OFICIO%20N%c2%b0%200003-2024-CGTD.pdf,1,2026-03-27
OFICIO N° 367-2022-SANIPES-GG,2022-12-15,2022-12-15,https://repositorio.pngd.gob.pe/share/proxy/alfresco/slingshot/node/content/workspace/SpacesStore/95523911-4c7c-43c2-919c-d3a504938d70/OFICIO%20N%c2%b0%20367-2022-SANIPES-GG.pdf,1,2026-03-27
RESOLUCIÓN JEFATURAL N° 000134-2024-AGN-JEF,2024-05-24,2024-12-26,https://repositorio.pngd.gob.pe/share/proxy/alfresco/slingshot/node/content/workspace/SpacesStore/ba42aab8-6569-41b6-8f11-d7516633bd9f/RESOLUCI%c3%93N%20JEFATURAL%20N%c2%b0%20000134-2024-AGN-JEF.pdf,1,2026-03-27
RESOLUCIÓN DE PRESIDENCIA EJECUTIVA N° 085-2022-ATU-PE,2022-05-19,2025-06-27,https://repositorio.pngd.gob.pe/share/proxy/alfresco/slingshot/node/content/workspace/SpacesStore/0ffe80d4-cb94-4593-85d9-32be9f269336/RESOLUCI%c3%93N%20DE%20PRESIDENCIA%20EJECUTIVA%20N%c2%b0%20085-2022-ATU-PE.pdf,1,2026-03-27
