codigo;nombre;id_padre;sigla;usuario_crea;fecha_crea
1;Presidencia del Consejo de Ministros;10;PCM;1;01-08-2025
2;Instituto Nacional de Estadística e Informática;10;INEI;1;01-08-2025
10;Dirección Nacional de Inteligencia;10;DINI;1;01-08-2025
11;Despacho Presidencial;10;DP;1;01-08-2025
12;Comisión Nacional para el Desarrollo y Vida sin Drogas;10;DEVIDA;1;01-08-2025
16;Centro Nacional de Planeamiento Estratégico;10;CEPLAN;1;01-08-2025
19;Organismo Supervisor de la Inversión Privada en Telecomunicaciones;10;OSIPTEL;1;01-08-2025
20;Organismo Supervisor de la Inversión en Energía y Minería;10;OSINERGMIN;1;01-08-2025
21;Superintendencia Nacional de Servicios de Saneamiento;10;SUNASS;1;01-08-2025
22;Organismo Supervisor de la Inversión en Infraestructura de Transporte de Uso Público;10;OSITRAN;1;01-08-2025
23;Autoridad Nacional del Servicio Civil;10;SERVIR;1;01-08-2025
24;Organismo de Supervisión de los Recursos Forestales y de Fauna Silvestre;10;OSINFOR;1;01-08-2025
29;Autoridad Nacional de Infraestructura;10;ANIN;1;01-08-2025
31;Organismo de Estudios y Diseño de Proyectos de Inversión;10;OEDI;1;01-08-2025
114;Consejo Nacional de Ciencia, Tecnología e Innovación Tecnológica;10;CONCYTEC;1;01-08-2025
183;Instituto Nacional de Defensa de la Competencia y de la Protección de la Propiedad Intelectual;10;INDECOPI;1;01-08-2025
;Proyecto Especial Legado;10;LEGADO;1;01-08-2025
3;Ministerio de Cultura;11;MC;1;01-08-2025
60;Archivo General de la Nación;11;CULTURA;1;01-08-2025
113;Biblioteca Nacional del Peru;11;BNP;1;01-08-2025
116;Instituto Nacional de Radio y Televisión del Perú;11;IRTP;1;01-08-2025
4;Poder Judicial;12;PJ;1;01-08-2025
40;Academia de la Magistratura;13;AMAG;1;01-08-2025
5;Ministerio del Ambiente;13;MINAM;1;01-08-2025
50;Servicio Nacional de Áreas Naturales Protegidas por el Estado;13;SERNANP;1;01-08-2025
51;Organismo de Evaluación y Fiscalización Ambiental;13;OEFA;1;01-08-2025
52;Servicio Nacional de Certificación Ambiental para las Inversiones Sostenibles;13;SENACE;1;01-08-2025
55;Instituto de Investigaciones de la Amazonia Peruana;13;IIAP;1;01-08-2025
56;Instituto Nacional de Investigación en Glaciares y Ecosistemas de Montaña;13;INAIGEM;1;01-08-2025
112;Instituto Geofísico del Peru;13;IGP;1;01-08-2025
331;Servicio Nacional de Meteorología e Hidrología;13;SENAMHI;1;01-08-2025
6;Ministerio de Justicia y Derechos Humanos;14;MINJUS;1;01-08-2025
