ubigeo;codigo;nombre;id_padre;usuario_crea;fecha_crea
10101;300001;Municipalidad Provincial de Chachapoyas;41;1;01-08-2025
10102;300002;Municipalidad Distrital de Asuncion;41;1;01-08-2025
10103;300003;Municipalidad Distrital de Balsas;41;1;01-08-2025
10104;300004;Municipalidad Distrital de Cheto;41;1;01-08-2025
10105;300005;Municipalidad Distrital de Chiliquin;41;1;01-08-2025
10106;300006;Municipalidad Distrital de Chuquibamba;41;1;01-08-2025
10107;300007;Municipalidad Distrital de Granada;41;1;01-08-2025
10108;300008;Municipalidad Distrital de Huancas;41;1;01-08-2025
10109;300009;Municipalidad Distrital de la Jalca;41;1;01-08-2025
10110;300010;Municipalidad Distrital de Leimebamba;41;1;01-08-2025
10111;300011;Municipalidad Distrital de Levanto;41;1;01-08-2025
10112;300012;Municipalidad Distrital de Magdalena;41;1;01-08-2025
10113;300013;Municipalidad Distrital de Mariscal Castilla;41;1;01-08-2025
10114;300014;Municipalidad Distrital de Molinopampa;41;1;01-08-2025
10115;300015;Municipalidad Distrital de Montevideo;41;1;01-08-2025
10116;300016;Municipalidad Distrital de Olleros;41;1;01-08-2025
10117;300017;Municipalidad Distrital de Quinjalca;41;1;01-08-2025
10118;300018;Municipalidad Distrital de San Francisco de Daguas;41;1;01-08-2025
10119;300019;Municipalidad Distrital de San Isidro de Maino;41;1;01-08-2025
10120;300020;Municipalidad Distrital de Soloco;41;1;01-08-2025
10121;300021;Municipalidad Distrital de Sonche;41;1;01-08-2025
10201;300022;Municipalidad Provincial de Bagua;41;1;01-08-2025
10202;300023;Municipalidad Distrital de Aramango;41;1;01-08-2025
10203;300024;Municipalidad Distrital de Copallin;41;1;01-08-2025
10204;300025;Municipalidad Distrital de El Parco;41;1;01-08-2025
10205;300026;Municipalidad Distrital de Imaza;41;1;01-08-2025
10206;300027;Municipalidad Distrital de la Peca;41;1;01-08-2025
10301;300028;Municipalidad Provincial de Bogará - Jumbilla;41;1;01-08-2025
10302;300029;Municipalidad Distrital de Chisquilla;41;1;01-08-2025
10303;300030;Municipalidad Distrital de Churuja;41;1;01-08-2025
10304;300031;Municipalidad Distrital de Corosha;41;1;01-08-2025
10305;300032;Municipalidad Distrital de Cuispes;41;1;01-08-2025
10306;300033;Municipalidad Distrital de Florida;41;1;01-08-2025
10307;300034;Municipalidad Distrital de Jazan;41;1;01-08-2025
10308;300035;Municipalidad Distrital de Recta;41;1;01-08-2025
10309;300036;Municipalidad Distrital de San Carlos;41;1;01-08-2025
10310;300037;Municipalidad Distrital de Shipasbamba;41;1;01-08-2025
10311;300038;Municipalidad Distrital de Valera;41;1;01-08-2025
10312;300039;Municipalidad Distrital de Yambrasbamba;41;1;01-08-2025
10401;300040;Municipalidad Provincial de Condorcanqui - Nieva;41;1;01-08-2025
10402;300041;Municipalidad Distrital de El Cenepa;41;1;01-08-2025
10403;300042;Municipalidad Distrital de Rio Santiago;41;1;01-08-2025
10501;300043;Municipalidad Provincial de Luya - Lamud;41;1;01-08-2025
10502;300044;Municipalidad Distrital de Camporredondo;41;1;01-08-2025
10503;300045;Municipalidad Distrital de Cocabamba;41;1;01-08-2025
10504;300046;Municipalidad Distrital de Colcamar;41;1;01-08-2025
10505;300047;Municipalidad Distrital de Conila;41;1;01-08-2025
10506;300048;Municipalidad Distrital de Inguilpata;41;1;01-08-2025
10507;300049;Municipalidad Distrital de Longuita;41;1;01-08-2025
10508;300050;Municipalidad Distrital de Lonya Chico;41;1;01-08-2025
10509;300051;Municipalidad Distrital de Luya;41;1;01-08-2025
10510;300052;Municipalidad Distrital de Luya Viejo;41;1;01-08-2025
10511;300053;Municipalidad Distrital de Maria;41;1;01-08-2025
10512;300054;Municipalidad Distrital de Ocalli;41;1;01-08-2025
10513;300055;Municipalidad Distrital de Ocumal;41;1;01-08-2025
10514;300056;Municipalidad Distrital de Pisuquia;41;1;01-08-2025
10515;300057;Municipalidad Distrital de Providencia;41;1;01-08-2025
10516;300058;Municipalidad Distrital de San Cristobal;41;1;01-08-2025
10517;300059;Municipalidad Distrital de San Francisco del Yeso;41;1;01-08-2025
10518;300060;Municipalidad Distrital de San Jerónimo de Paclas;41;1;01-08-2025
10519;300061;Municipalidad Distrital de San Juan de Lopecancha;41;1;01-08-2025
10520;300062;Municipalidad Distrital de Santa Catalina;41;1;01-08-2025
10521;300063;Municipalidad Distrital de Santo Tomas;41;1;01-08-2025
10522;300064;Municipalidad Distrital de Tingo;41;1;01-08-2025
10523;300065;Municipalidad Distrital de Trita;41;1;01-08-2025
10601;300066;Municipalidad Provincial de Rodríguez de Mendoza - San Nicolas;41;1;01-08-2025
10602;300067;Municipalidad Distrital de Chirimoto;41;1;01-08-2025
10603;300068;Municipalidad Distrital de Cochamal;41;1;01-08-2025
10604;300069;Municipalidad Distrital de Huambo;41;1;01-08-2025
10605;300070;Municipalidad Distrital de Limabamba;41;1;01-08-2025
10606;300071;Municipalidad Distrital de Longar;41;1;01-08-2025
10607;300072;Municipalidad Distrital de Mariscal Benavides;41;1;01-08-2025
10608;300073;Municipalidad Distrital de Milpuc;41;1;01-08-2025
10609;300074;Municipalidad Distrital de Omia;41;1;01-08-2025
10610;300075;Municipalidad Distrital de Santa Rosa;41;1;01-08-2025
10611;300076;Municipalidad Distrital de Totora;41;1;01-08-2025
10612;300077;Municipalidad Distrital de Vista Alegre;41;1;01-08-2025
10701;300078;Municipalidad Provincial de Utcubamba - Bagua Grande;41;1;01-08-2025
10702;300079;Municipalidad Distrital de Cajaruro;41;1;01-08-2025
10703;300080;Municipalidad Distrital de Cumba;41;1;01-08-2025
10704;300081;Municipalidad Distrital de El Milagro;41;1;01-08-2025
10705;300082;Municipalidad Distrital de Jamalca;41;1;01-08-2025
10706;300083;Municipalidad Distrital de Lonya Grande;41;1;01-08-2025
10707;300084;Municipalidad Distrital de Yamon;41;1;01-08-2025
20101;300085;Municipalidad Provincial de Huaraz;41;1;01-08-2025
20102;300086;Municipalidad Distrital de Cochabamba;41;1;01-08-2025
20103;300087;Municipalidad Distrital de Colcabamba;41;1;01-08-2025
20104;300088;Municipalidad Distrital de Huanchay;41;1;01-08-2025
20105;300089;Municipalidad Distrital de Independencia;41;1;01-08-2025
20106;300090;Municipalidad Distrital de Jangas;41;1;01-08-2025
20107;300091;Municipalidad Distrital de la Libertad;41;1;01-08-2025
20108;300092;Municipalidad Distrital de Olleros;41;1;01-08-2025
20109;300093;Municipalidad Distrital de Pampas;41;1;01-08-2025
20110;300094;Municipalidad Distrital de Pariacoto;41;1;01-08-2025
20111;300095;Municipalidad Distrital de Pira;41;1;01-08-2025
20112;300096;Municipalidad Distrital de Tarica;41;1;01-08-2025
20201;300097;Municipalidad Provincial de Aija;41;1;01-08-2025
20202;300098;Municipalidad Distrital de Coris;41;1;01-08-2025
20203;300099;Municipalidad Distrital de Huacllan;41;1;01-08-2025
20204;300100;Municipalidad Distrital de la Merced;41;1;01-08-2025
20205;300101;Municipalidad Distrital de Succha;41;1;01-08-2025
20301;300102;Municipalidad Provincial de Antonio Raymondi - Llamellin;41;1;01-08-2025
20302;300103;Municipalidad Distrital de Aczo;41;1;01-08-2025
20303;300104;Municipalidad Distrital de Chaccho;41;1;01-08-2025
20304;300105;Municipalidad Distrital de Chingas;41;1;01-08-2025
20305;300106;Municipalidad Distrital de Mirgas;41;1;01-08-2025
20306;300107;Municipalidad Distrital de San Juan de Rontoy;41;1;01-08-2025
20401;300108;Municipalidad Provincial de Asunción - Chacas;41;1;01-08-2025
20402;300109;Municipalidad Distrital de Acochaca;41;1;01-08-2025
20501;300110;Municipalidad Provincial de Bolognesi - Chiquian;41;1;01-08-2025
20502;300111;Municipalidad Distrital de Abelardo Pardo Lezameta;41;1;01-08-2025
20503;300112;Municipalidad Distrital de Antonio Raymondi;41;1;01-08-2025
20504;300113;Municipalidad Distrital de Aquia;41;1;01-08-2025
20505;300114;Municipalidad Distrital de Cajacay;41;1;01-08-2025
20506;300115;Municipalidad Distrital de Canis;41;1;01-08-2025
20507;300116;Municipalidad Distrital de Colquioc;41;1;01-08-2025
20508;300117;Municipalidad Distrital de Huallanca;41;1;01-08-2025
20509;300118;Municipalidad Distrital de Huasta;41;1;01-08-2025
20510;300119;Municipalidad Distrital de Huayllacayan;41;1;01-08-2025
20511;300120;Municipalidad Distrital de la Primavera;41;1;01-08-2025
20512;300121;Municipalidad Distrital de Mangas;41;1;01-08-2025
20513;300122;Municipalidad Distrital de Pacllon;41;1;01-08-2025
20514;300123;Municipalidad Distrital de San Miguel de Corpanqui;41;1;01-08-2025
