"id","id_capa","id_tipo_servicio","direccion_web","nombre_capa","titulo_capa","estado","id_layer","usuario_registro","fecha_registro"
1,313,11,"https://ider.regionucayali.gob.pe/geoservicios/services/servicios_ogc/Peru_GRU_1201/MapServer/WMSServer?request=GetCapabilities&service=WMS","0","PlantacionesTPP",True,42464,1,"2026-02-18 11:14:23.709268-05"
2,1025,11,"https://espacialg.geoperu.gob.pe/geoserver/subsistemas/20260209095518___Reembolsos_atendidos_Tit_Dic2025/wms?service=WMS&request=GetCapabilities","20260209095518___Reembolsos_atendidos_Tit_Dic2025","20260209095518___Reembolsos_atendidos_Tit_Dic2025",True,42243,1,"2026-02-18 11:14:23.709268-05"
3,1118,11,"https://swmapas.mtc.gob.pe:8443/geoserver/geoportal/pe_mtc_018_red_vial_departamental_jul24/wms?service=wms&request=GetCapabilities","pe_mtc_018_red_vial_departamental_jul24","pe_mtc_018_red_vial_departamental_jul24",True,42437,1,"2026-02-18 11:14:23.709268-05"
4,232,11,"http://geoportal.regionamazonas.gob.pe/geoserver/visor/cb_drenaje_superficial/wms?service=WMS&request=GetCapabilities","","",False,0,1,"2026-02-18 11:14:23.709268-05"
5,121,11,"https://espacialg.geoperu.gob.pe/geoserver/satelite/ANCASH_IR_SAT/wms?service=WMS&request=GetCapabilities","ANCASH_IR_SAT","8_PeruSAT_IR",True,40233,1,"2026-02-18 11:14:23.709268-05"
6,653,11,"https://espacialg.geoperu.gob.pe/geoserver/geoperu/peru_pre_e_00_02_dist_pcm_/wms?service=WMS&request=GetCapabilities","peru_pre_e_00_02_dist_pcm_","SECTORES GOBIERNO NACIONAL | PCM | Proyectos - Distrital",True,601,1,"2026-02-18 11:14:23.709268-05"
7,1186,11,"https://idesep.senamhi.gob.pe:443/geoserver/g_05_02/05_02_017_03_001_512_0000_00_00/ows?service=WMS&request=GetCapabilities","05_02_017_03_001_512_0000_00_00","CARACTERIZACION DE PRECIPITACION - 17 PRIMAVERA",True,41595,1,"2026-02-18 11:14:23.709268-05"
8,126,11,"https://espacialg.geoperu.gob.pe/geoserver/satelite/2_SPOT6_IR/wms?service=WMS&request=GetCapabilities","2_SPOT6_IR","2_SPOT6_IR",True,40238,1,"2026-02-18 11:14:23.709268-05"
9,1371,11,"https://espacialg.geoperu.gob.pe/geoserver/subsistemas/20250206175349___Casos_al_22_de_setiembre_del_2024/wms?service=WMS&request=GetCapabilities","20250206175349___Casos_al_22_de_setiembre_del_2024","20250206175349___Casos_al_22_de_setiembre_del_2024",True,40754,1,"2026-02-18 11:14:23.709268-05"
10,1728,11,"https://idesep.senamhi.gob.pe:443/geoserver/g_05_96/05_96_010_04_001_512_0000_00_00/ows?service=WMS&request=GetCapabilities","05_96_010_04_001_512_0000_00_00","SAN MARTIN - TEMP MINIMA - 10 MES DE OCTUBRE",True,41739,1,"2026-02-18 11:14:23.709268-05"
11,1677,11,"https://idesep.senamhi.gob.pe:443/geoserver/g_05_97/05_97_005_04_001_512_0000_00_00/ows?service=WMS&request=GetCapabilities","05_97_005_04_001_512_0000_00_00","SAN MARTIN - TEMP MAXIMA - 05 MES DE MAYO",True,41751,1,"2026-02-18 11:14:23.709268-05"
